127.0.0.1 - - [13/Feb/2020:11:58:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:58:06 +0530] "GET /GharKaSamaan/ HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:58:13 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:58:30 +0530] "GET /GharKaSamaan/AddProducts HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:58:47 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:59:50 +0530] "GET /GharKaSamaan/aboutus HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:59:52 +0530] "GET /GharKaSamaan/index HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [13/Feb/2020:11:59:56 +0530] "GET /GharKaSamaan/login HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:14:37 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:14:50 +0530] "GET /GharKaSamaan/allprod HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:14:58 +0530] "GET /GharKaSamaan/aboutus HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:00 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:08 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:13 +0530] "GET /GharKaSamaan/aboutus HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:17 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:23 +0530] "GET /GharKaSamaan/index HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:38 +0530] "GET /GharKaSamaan/aboutus HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [13/Feb/2020:14:15:41 +0530] "GET /GharKaSamaan/contactus HTTP/1.1" 200 2671
